Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
993	2015-04-12	Б	4	14	11	31	45	42	0	990000	5	3371	184	84	2476	6
992	2015-04-09	Б	4	34	44	36	21	30	0	960000	4	4323	144	110	2265	6
991	2015-04-07	Б	1	12	18	33	22	25	0	930000	6	2614	192	75	2449	6
990	2015-04-05	Б	2	41	40	18	29	27	0	900000	2	8756	146	110	2541	6
989	2015-04-02	Б	3	28	35	11	3	5	0	860000	5	3274	248	60	2718	6
988	2015-03-31	А	2	2	42	1	32	43	0	830000	1	15557	128	112	2217	6
987	2015-03-29	Б	1	34	2	30	15	10	0	800000	2	8489	153	102	2414	6
986	2015-03-26	Б	1	34	13	1	30	18	0	760000	3	5345	155	95	2228	6
985	2015-03-24	Б	3	1	18	44	6	23	0	730000	4	3764	168	82	2442	6
984	2015-03-22	Б	2	38	39	2	41	1	0	700000	1	15590	136	105	2312	6
983	2015-03-19	А	1	12	16	37	17	5	0	670000	5	3019	177	78	2324	6
982	2015-03-17	Б	3	43	34	24	41	5	0	640000	5	2785	164	78	2074	6
981	2015-03-15	Б	3	3	1	31	32	12	0	610000	2	7021	158	82	2001	6
980	2015-03-12	Б	1	28	33	16	41	17	0	590000	9	1491	189	65	2191	6
979	2015-03-10	Б	2	27	23	21	29	14	0	560000	2	5910	134	81	1895	6
978	2015-03-08	Б	3	15	1	10	36	33	0	540000	5	2688	148	83	2017	6
977	2015-03-05	А	4	17	8	30	23	41	0	510000	3	4302	170	70	2199	6
976	2015-03-03	А	4	38	40	11	33	10	0	480000	3	3986	121	91	1786	6
975	2015-03-01	А	4	31	37	33	19	32	0	450000	5	2375	125	87	1750	6
974	2015-02-26	А	4	10	36	45	41	7	0	430000	1	11628	125	85	1711	6
973	2015-02-24	Б	1	23	42	10	1	27	0	410000	1	11445	120	88	1794	6
972	2015-02-22	А	1	42	34	22	31	19	0	390000	4	2850	133	79	1866	6
971	2015-02-19	Б	3	30	44	24	40	39	0	360000	2	5888	77	141	1374	6
970	2015-02-17	А	4	43	17	44	12	1	0	330000	2	5574	120	85	1554	6
969	2015-02-15	Б	2	24	42	27	44	4	0	310000	0	0	111	95	1501	6
968	2015-02-12	А	1	7	1	44	28	43	0	280000	2	5261	127	76	1492	6
967	2015-02-10	Б	4	32	24	35	40	4	0	260000	1	10453	69	139	1338	6
966	2015-02-08	А	2	36	39	1	8	4	0	230000	5	2025	134	69	1703	6
965	2015-02-05	А	3	2	41	33	43	34	0	210000	2	4771	115	76	1438	6
964	2015-02-03	Б	1	12	24	9	37	29	0	190000	4	2299	101	84	1283	6
963	2015-02-01	Б	2	20	15	11	35	7	0	170000	3	3149	125	69	1405	6
962	2015-01-29	Б	2	3	1	30	11	29	0	150000	4	2212	128	63	1520	6
961	2015-01-27	А	4	7	10	43	12	35	0	120000	9	976	77	105	1179	6
960	2015-01-25	А	2	3	12	13	7	34	0	100000	1	8041	135	54	1365	6
959	2015-01-22	А	1	36	37	7	38	3	0	90000	2	3854	96	74	1178	6
958	2015-01-20	Б	3	34	36	32	42	31	0	70000	0	0	44	152	861	6
957	2015-01-18	Б	2	45	42	44	16	22	0	50000	0	0	65	104	928	6
956	2015-01-15	А	4	13	40	7	43	16	1	552713	5	2410	149	74	2043	6
955	2015-01-13	А	4	16	33	7	15	4	0	550000	5	2280	154	68	2059	6
954	2015-01-11	А	4	22	8	28	1	15	0	530000	3	3718	212	48	2087	6
953	2015-01-08	А	2	27	10	37	44	17	0	510000	7	1285	143	58	1432	6
952	2015-01-06	Б	3	21	39	6	13	9	0	490000	4	2674	166	59	1875	6
951	2015-01-04	А	3	41	29	45	39	22	0	460000	3	3866	115	93	1896	6
950	2015-01-01	А	1	17	34	21	15	13	0	430000	3	3247	116	77	1603	6
949	2014-12-30	А	4	14	23	2	33	27	0	410000	3	5018	224	62	2704	6
948	2014-12-28	А	3	6	36	45	25	34	0	380000	2	8153	158	95	2224	6
947	2014-12-25	А	1	16	3	10	45	11	0	350000	2	7763	147	97	2220	6
946	2014-12-23	Б	1	33	11	31	7	21	0	320000	9	1544	216	59	2204	6
945	2014-12-21	Б	3	33	38	41	11	6	0	290000	4	3745	156	88	2005	6
944	2014-12-18	А	3	13	20	33	2	16	0	260000	3	4645	198	64	2342	6
943	2014-12-16	А	3	45	5	19	12	16	0	230000	6	2190	144	84	2134	6
942	2014-12-14	А	3	39	8	17	29	5	0	200000	7	1966	234	54	2430	6
941	2014-12-11	А	3	37	44	25	9	17	0	170000	7	1791	126	91	1894	6
940	2014-12-09	А	4	21	24	41	28	17	0	140000	1	12774	133	88	2019	6
939	2014-12-07	А	4	12	3	8	38	23	0	120000	3	3956	176	62	2051	6
938	2014-12-04	Б	3	45	9	27	16	35	0	90000	5	2167	201	49	1940	6
937	2014-12-02	А	4	23	17	18	40	11	0	70000	3	3284	126	72	1496	6
936	2014-11-30	А	3	33	23	31	3	8	0	50000	1	10523	153	63	1814	6
935	2014-11-27	Б	1	18	34	43	39	25	1	1029774	2	11120	199	103	2648	6
934	2014-11-25	Б	2	40	39	7	6	45	0	1000000	4	4831	224	79	2773	6
933	2014-11-23	Б	2	39	4	5	3	7	0	960000	4	5258	243	79	3520	6
932	2014-11-20	Б	4	38	33	41	8	10	0	920000	9	2218	236	78	3117	6
931	2014-11-18	А	3	4	41	43	34	39	0	880000	5	3906	209	86	2724	6
930	2014-11-16	А	1	11	39	17	3	36	0	850000	5	4149	269	71	3053	6
929	2014-11-13	Б	1	36	41	44	39	26	0	810000	2	10004	178	103	2531	6
928	2014-11-11	А	4	44	8	7	20	30	0	770000	8	2362	227	76	3103	6
927	2014-11-09	Б	3	26	31	25	36	40	0	730000	4	4899	232	77	2873	6
926	2014-11-06	А	2	32	19	39	30	25	0	690000	5	4079	231	81	2615	6
925	2014-11-04	Б	2	11	4	1	3	21	0	650000	6	2708	303	49	3330	6
924	2014-11-02	Б	3	36	15	19	5	33	0	610000	12	1415	270	58	3115	6
923	2014-10-30	А	2	40	23	39	7	1	0	580000	6	2731	230	65	2653	6
922	2014-10-28	Б	4	2	28	25	10	39	0	550000	3	5743	218	72	2590	6
921	2014-10-26	А	4	20	37	25	35	9	0	510000	6	2943	215	75	2575	6
920	2014-10-23	Б	2	28	27	6	1	32	0	480000	3	5236	192	75	2649	6
919	2014-10-21	А	1	41	7	25	23	26	0	440000	9	1716	216	66	2755	6
918	2014-10-19	А	3	2	43	17	13	34	0	420000	2	8296	182	84	2306	6
917	2014-10-16	А	3	21	20	29	17	13	0	380000	5	2953	151	90	2308	6
916	2014-10-14	Б	4	20	1	36	41	14	0	350000	7	2143	197	70	2500	6
915	2014-10-12	А	3	39	12	24	18	10	0	320000	5	3020	172	81	2071	6
914	2014-10-09	Б	1	5	34	23	41	12	0	280000	4	3680	199	68	2279	6
913	2014-10-07	А	2	6	43	33	38	17	0	250000	2	6898	153	83	2012	6
912	2014-10-05	Б	4	37	9	31	41	45	0	230000	2	6838	139	90	1780	6
911	2014-10-02	Б	2	39	35	16	23	45	0	200000	3	4207	110	105	1689	6
910	2014-09-30	А	4	45	41	9	33	42	0	170000	3	4114	128	89	1857	6
909	2014-09-28	А	3	27	39	21	28	6	0	150000	4	2982	131	84	1872	6
908	2014-09-25	А	1	26	21	3	37	2	0	120000	3	3785	114	91	1646	6
907	2014-09-23	Б	2	20	3	7	45	5	0	100000	5	1941	141	63	1651	6
906	2014-09-21	А	3	26	39	33	17	14	0	80000	0	0	141	65	1816	6
905	2014-09-18	Б	1	20	16	45	8	13	0	40000	4	2490	110	83	1740	6
904	2014-09-16	Б	3	12	34	5	37	21	1	180025	9	1464	179	67	2117	6
903	2014-09-14	Б	4	29	23	33	17	27	0	180000	4	3064	160	70	2183	6
902	2014-09-11	А	4	18	19	15	6	23	0	160000	2	6249	165	69	1962	6
901	2014-09-09	Б	1	22	32	45	42	38	0	130000	3	4164	121	95	1554	6
900	2014-09-07	А	4	8	14	11	22	28	0	100000	4	2890	144	74	1841	6
899	2014-09-04	Б	3	21	11	37	43	41	0	70000	3	3519	86	113	1363	6
898	2014-09-02	Б	1	40	23	28	29	11	0	50000	0	0	153	64	1743	6
897	2014-08-31	Б	1	3	17	28	26	36	1	3961501	8	4249	464	67	5401	6
896	2014-08-28	А	3	10	12	8	31	2	0	3950000	15	2050	412	68	4952	6
895	2014-08-26	Б	2	28	45	4	35	13	0	3900000	12	2381	313	84	4428	6
894	2014-08-24	А	2	4	2	18	15	41	0	3870000	11	2945	323	92	4813	6
893	2014-08-21	А	2	10	37	19	11	43	0	3830000	14	2405	362	85	5435	6
892	2014-08-19	А	2	44	17	31	30	37	0	3800000	5	6724	274	113	4368	6
891	2014-08-17	А	1	43	4	3	36	8	0	3750000	22	1461	535	55	5691	6
890	2014-08-14	Б	1	2	38	5	24	44	0	3700000	4	8729	378	85	4916	6
889	2014-08-12	Б	3	32	44	6	5	27	0	3660000	8	4465	418	78	5844	6
888	2014-08-10	А	1	16	31	23	9	22	0	3620000	16	2339	739	46	7849	6
887	2014-08-07	Б	2	26	45	13	42	25	0	3570000	6	5784	394	81	5541	6
886	2014-08-05	А	1	42	3	27	20	14	0	3530000	17	1995	476	65	5448	6
885	2014-08-03	А	3	7	33	24	22	40	0	3480000	12	2879	532	59	6445	6
884	2014-07-31	Б	4	23	41	32	4	43	0	3440000	9	4002	437	76	5891	6
883	2014-07-29	А	1	21	1	7	2	19	0	3390000	12	2942	403	80	5180	6
882	2014-07-27	А	1	26	7	25	17	44	0	3350000	7	5581	380	94	5441	6
881	2014-07-24	А	2	32	40	35	2	21	0	3300000	6	6401	458	77	5980	6
880	2014-07-22	Б	3	7	17	45	10	37	0	3250000	14	2547	486	67	6202	6
879	2014-07-20	Б	3	17	29	38	2	35	0	3200000	12	3114	426	80	5531	6
878	2014-07-17	Б	3	1	27	17	20	22	0	3150000	10	3913	412	87	6185	6
877	2014-07-15	Б	3	17	44	1	11	34	0	3100000	11	3725	631	59	7113	6
876	2014-07-13	А	2	21	18	27	14	3	0	3050000	9	4473	524	70	7057	6
875	2014-07-10	А	3	35	43	25	15	8	0	3000000	9	4438	374	98	5504	6
874	2014-07-08	А	3	30	28	3	42	8	0	2950000	9	4263	514	68	5904	6
873	2014-07-06	А	4	3	39	13	24	19	0	2900000	12	3226	473	75	6362	6
872	2014-07-03	Б	4	13	27	17	6	24	0	2850000	16	2234	659	50	6965	6
871	2014-07-01	А	1	35	41	17	9	7	0	2810000	8	4386	404	80	5438	6
870	2014-06-29	А	3	36	16	41	40	25	0	2764078	11	3442	427	81	5875	6
869	2014-06-26	Б	3	30	2	15	41	3	0	2689273	4	9321	447	76	5757	6
868	2014-06-24	А	1	14	18	23	25	5	0	2615599	11	3633	493	74	5857	6
867	2014-06-22	Б	3	23	5	38	32	11	0	2537681	9	4582	469	81	6079	6
866	2014-06-19	А	4	13	33	29	9	28	0	2456952	18	2144	488	73	6444	6
865	2014-06-17	А	3	38	39	27	22	36	0	2381870	10	4020	394	94	5842	6
864	2014-06-15	Б	2	11	41	30	33	21	0	2303904	18	2130	590	59	6707	6
863	2014-06-12	А	3	36	18	3	7	37	0	2228650	14	2612	454	74	5714	6
862	2014-06-10	А	1	20	31	19	35	38	0	2157120	8	4648	383	89	5469	6
861	2014-06-08	Б	1	25	23	42	20	8	0	2084313	10	3698	414	82	6394	6
860	2014-06-05	А	4	41	35	30	26	4	0	2011377	10	3793	341	102	5002	6
859	2014-06-03	А	2	14	9	13	22	10	0	1934071	9	3972	385	85	6328	6
858	2014-06-01	Б	3	4	22	40	15	5	0	1864195	11	3198	431	75	5974	6
857	2014-05-29	Б	4	3	23	35	16	22	0	1792975	11	3071	414	75	5098	6
856	2014-05-27	А	3	26	45	29	39	27	0	1726730	6	5244	338	85	4713	6
855	2014-05-25	А	1	8	12	24	36	13	0	1665019	10	3074	378	75	4729	6
854	2014-05-22	А	4	44	38	4	12	22	0	1604490	13	2514	367	82	4760	6
853	2014-05-20	А	1	18	7	29	22	36	0	1540764	16	2017	353	84	4611	6
852	2014-05-18	А	4	45	37	30	28	44	0	1477636	11	3209	245	133	4381	6
851	2014-05-15	Б	1	40	36	27	45	10	0	1408462	8	4423	329	99	4408	6
850	2014-05-13	А	3	27	20	40	43	45	0	1339350	5	6280	369	78	4674	6
849	2014-05-11	Б	3	22	38	25	9	45	0	1277824	12	2157	365	65	4348	6
848	2014-05-08	Б	2	34	41	23	28	29	0	1226392	9	3217	315	84	4092	6
847	2014-05-06	Б	1	2	40	35	1	10	0	1169556	15	1861	318	81	4130	6
846	2014-05-04	А	3	34	1	25	37	13	0	1115213	2	12867	249	95	3404	6
845	2014-05-01	Б	1	13	40	44	11	23	0	1064624	3	7983	320	69	4265	6
844	2014-04-29	А	1	25	5	9	30	38	0	1017338	6	4699	413	63	5017	6
843	2014-04-27	Б	3	33	43	44	34	28	0	961879	3	8871	311	78	3941	6
842	2014-04-24	А	4	43	11	39	10	23	0	909140	8	3189	289	81	3562	6
841	2014-04-22	Б	1	6	2	26	29	15	0	858586	12	1996	316	69	3554	6
840	2014-04-20	А	4	34	27	43	45	2	0	808430	1	24381	294	76	3741	6
839	2014-04-17	А	2	25	38	1	20	42	0	758404	4	6065	278	80	3370	6
838	2014-04-15	Б	1	26	16	34	38	45	0	710562	9	2604	257	84	3145	6
837	2014-04-13	А	2	19	17	39	6	29	0	664813	2	10844	271	73	3469	6
836	2014-04-10	Б	4	26	25	17	27	19	0	621507	6	3391	245	76	3255	6
835	2014-04-08	А	2	17	11	23	45	18	0	578549	1	20662	262	72	3127	6
834	2014-04-06	А	2	3	38	33	1	5	0	535180	7	3039	294	66	3776	6
833	2014-04-03	А	2	5	38	19	24	28	0	492876	3	6258	311	55	3486	6
832	2014-04-01	Б	1	27	15	43	9	34	0	450913	7	2762	303	58	3000	6
831	2014-03-30	А	3	39	42	44	26	45	0	412275	5	3713	203	84	2985	6
830	2014-03-27	А	3	36	33	40	11	18	0	375137	8	2213	228	71	2877	6
829	2014-03-25	А	2	32	19	31	27	28	0	339691	5	3121	172	83	2477	6
828	2014-03-23	Б	1	4	17	39	8	7	0	305051	9	1732	249	57	2654	6
827	2014-03-20	А	3	30	10	11	38	42	0	271522	4	3739	179	77	2186	6
826	2014-03-18	Б	3	39	24	33	19	16	0	240805	8	1813	195	68	2384	6
825	2014-03-16	Б	1	38	7	40	6	43	0	211119	2	7227	128	104	2030	6
824	2014-03-13	Б	3	37	33	8	41	40	0	180248	2	7054	185	70	2132	6
823	2014-03-11	А	2	38	7	17	21	5	0	151349	5	2472	204	55	2291	6
822	2014-03-09	А	4	33	18	17	5	6	0	122903	2	6345	195	60	2086	6
821	2014-03-06	А	4	19	20	31	43	12	0	94420	2	6404	129	91	1694	6
820	2014-03-04	А	2	23	33	26	7	39	0	67627	3	3533	140	69	1825	6
819	2014-03-02	Б	2	43	2	44	13	12	0	45583	2	5610	106	97	1519	6
818	2014-02-27	Б	3	39	35	5	43	2	0	22300	1	10879	97	103	1599	6
817	2014-02-25	Б	4	38	33	3	8	13	1	385436	10	1719	228	69	2724	6
816	2014-02-23	А	4	5	41	32	40	14	0	351459	9	1818	275	54	2814	6
815	2014-02-20	А	2	3	34	26	5	35	0	317641	8	1768	248	52	2959	6
814	2014-02-18	Б	3	20	28	36	38	24	0	288892	3	6088	226	74	2708	6
813	2014-02-16	А	4	37	10	42	6	12	0	250334	3	6245	251	68	3244	6
812	2014-02-13	А	2	39	33	28	38	13	0	212787	5	3602	236	70	2762	6
811	2014-02-11	Б	1	18	31	3	1	38	0	176750	7	2397	161	96	2255	6
810	2014-02-09	Б	3	31	18	23	25	26	0	143530	4	4116	174	87	2318	6
809	2014-02-06	Б	3	25	34	22	11	28	0	110805	3	5090	184	76	2257	6
808	2014-02-04	А	1	43	11	16	13	30	0	80147	3	4354	143	84	1991	6
807	2014-02-02	А	4	19	39	7	2	15	0	54143	10	1217	212	53	2509	6
806	2014-01-30	А	3	42	9	6	10	1	0	23497	6	1941	146	73	1779	6
805	2014-01-28	А	1	14	42	3	29	23	1	470723	3	6072	214	78	2692	6
804	2014-01-26	А	4	20	10	11	42	27	0	426279	7	2880	258	72	3470	6
803	2014-01-23	Б	1	23	24	28	43	17	0	384926	5	3809	184	95	2769	6
802	2014-01-21	А	1	4	25	26	8	31	0	345927	15	1271	293	60	3110	6
801	2014-01-19	А	1	24	41	29	17	38	0	307052	6	3476	220	87	2738	6
800	2014-01-16	Б	2	1	9	10	32	3	0	264204	8	2372	224	78	3017	6
799	2014-01-14	Б	1	26	45	25	1	24	0	225659	8	2459	163	111	2578	6
798	2014-01-12	А	4	23	18	15	36	25	0	185671	3	6194	204	84	2633	6
797	2014-01-09	Б	3	7	39	31	36	33	0	147661	6	2889	180	88	2638	6
796	2014-01-07	А	4	21	28	3	8	4	0	111953	5	2317	177	60	2076	6
795	2014-01-05	Б	3	33	45	29	40	9	0	88089	3	5180	189	75	2320	6
794	2014-01-02	А	2	16	7	1	42	4	0	56527	1	10760	132	75	1635	6
793	2013-12-31	Б	1	14	12	17	18	30	0	33750	6	2791	193	80	2471	6
792	2013-12-29	Б	3	23	20	9	1	45	1	302066	3	7036	271	71	3606	6
791	2013-12-26	Б	3	11	8	29	4	7	0	259765	13	1579	336	56	3552	6
790	2013-12-24	Б	3	44	30	10	26	5	0	218158	5	3853	233	76	2827	6
789	2013-12-22	Б	3	28	4	34	13	39	0	179488	5	3771	252	69	2935	6
788	2013-12-19	А	3	29	3	5	43	40	0	134485	4	4539	213	78	2663	6
787	2013-12-17	Б	4	7	17	3	19	1	0	94495	11	1392	266	53	2870	6
786	2013-12-15	Б	3	17	14	6	18	33	0	63484	6	2453	188	72	2347	6
785	2013-12-12	А	3	15	33	8	25	12	0	31028	8	1685	268	46	2495	6
784	2013-12-10	А	3	39	42	38	17	10	1	696360	2	11335	155	135	3080	6
783	2013-12-08	А	2	13	17	20	31	40	0	651474	11	2221	391	57	4526	6
782	2013-12-05	А	3	41	5	23	28	39	0	601961	8	2798	284	72	3546	6
781	2013-12-03	А	1	43	27	16	8	29	0	554911	6	3610	235	85	3190	6
780	2013-12-01	А	1	19	33	43	37	26	0	512227	9	2518	269	77	3482	6
779	2013-11-28	А	1	43	18	40	28	42	0	466913	4	5875	192	112	3150	6
778	2013-11-26	А	3	28	41	29	14	5	0	420613	7	3042	283	69	3200	6
777	2013-11-24	А	4	13	22	7	17	29	0	376873	3	7204	302	66	3994	6
776	2013-11-21	А	3	43	24	33	45	3	0	333997	16	1363	288	69	2969	6
775	2013-11-19	А	4	9	24	30	19	35	0	289496	4	4820	305	58	3644	6
774	2013-11-17	Б	4	1	38	28	8	37	0	250079	1	20959	215	89	3179	6
773	2013-11-14	Б	2	31	33	28	25	17	0	207349	4	4668	270	63	3110	6
772	2013-11-12	Б	2	3	13	14	7	18	0	169007	9	1961	306	53	3434	6
771	2013-11-10	А	1	9	5	32	27	45	0	133367	5	3361	217	71	2674	6
770	2013-11-07	А	1	26	37	5	10	34	0	99078	10	1719	212	74	2559	6
769	2013-11-05	Б	4	10	42	11	14	21	0	64438	2	7458	192	71	2378	6
768	2013-11-03	А	1	34	39	27	35	40	0	32334	4	3985	197	74	2451	6
767	2013-10-31	А	3	40	26	12	19	6	1	683533	30	799	401	55	3958	6
766	2013-10-29	А	1	9	45	19	22	40	0	636179	18	1343	403	55	4606	6
765	2013-10-27	А	3	41	23	39	12	5	0	587933	9	2736	265	85	3710	6
764	2013-10-24	А	2	4	14	36	28	23	0	538459	9	2630	290	75	3691	6
763	2013-10-22	А	1	4	8	5	1	21	0	488810	8	2832	309	67	3863	6
762	2013-10-20	Б	4	23	3	17	5	40	0	443516	12	1895	401	52	4162	6
761	2013-10-17	Б	3	15	31	11	27	9	0	398309	8	2798	279	74	3662	6
760	2013-10-15	А	4	37	2	34	44	9	0	354020	3	7291	218	92	3142	6
759	2013-10-13	Б	2	16	40	44	4	31	0	310792	9	2440	316	64	3480	6
758	2013-10-10	Б	2	13	42	30	1	10	0	266976	8	2668	249	79	3245	6
757	2013-10-08	А	1	40	42	20	28	21	0	224405	9	2348	232	84	3264	6
756	2013-10-06	А	3	11	6	27	35	36	0	182319	8	2466	231	78	2913	6
755	2013-10-03	Б	1	1	16	35	3	33	0	142950	4	4635	190	90	2641	6
754	2013-10-01	Б	4	21	12	37	18	35	0	106103	2	8800	160	101	2423	6
753	2013-09-29	А	4	11	35	33	27	18	0	71109	8	2159	190	83	2502	6
752	2013-09-26	Б	3	34	21	30	15	27	0	36192	3	5471	147	103	2377	6
751	2013-09-24	Б	3	11	16	39	6	34	1	1297995	13	2541	375	81	5473	6
750	2013-09-22	А	2	12	38	10	33	20	0	1233300	10	3372	397	78	5170	6
749	2013-09-19	Б	3	22	28	39	38	15	0	1167005	16	2013	486	61	5625	6
748	2013-09-17	Б	2	10	9	20	25	14	0	1103451	10	3208	460	64	5171	6
747	2013-09-15	А	3	10	14	38	19	25	0	1040513	22	1588	527	61	6050	6
746	2013-09-12	Б	2	45	1	17	43	36	0	971828	4	8744	300	107	4191	6
745	2013-09-10	А	2	6	35	20	4	39	0	903225	11	3031	295	104	4060	6
744	2013-09-08	А	4	20	21	6	17	43	0	835700	12	2512	388	71	4610	6
743	2013-09-05	А	4	3	5	35	39	22	0	774286	7	3994	349	73	4510	6
742	2013-09-03	Б	2	10	27	32	8	23	0	715083	10	2750	418	60	4752	6
741	2013-09-01	Б	3	31	17	39	14	7	0	653504	11	2579	344	76	4262	6
740	2013-08-29	А	4	40	1	16	39	44	0	595674	6	4468	225	110	3197	6
739	2013-08-27	Б	2	5	17	1	35	45	0	540498	8	3189	274	85	3402	6
738	2013-08-25	А	1	16	40	7	14	19	0	488430	5	4783	356	62	4483	6
737	2013-08-22	А	3	23	5	9	36	39	0	439142	13	1832	399	55	4514	6
736	2013-08-20	Б	4	26	1	18	21	42	0	391048	11	2144	280	77	3652	6
735	2013-08-18	Б	4	40	3	43	4	6	0	343141	5	4956	200	114	3391	6
734	2013-08-15	Б	4	45	44	17	32	31	0	292858	5	4856	208	107	3119	6
733	2013-08-13	Б	3	39	37	23	16	6	0	243625	6	3850	269	79	3590	6
732	2013-08-11	Б	3	30	10	27	41	35	0	197797	6	3657	222	91	2859	6
731	2013-08-08	Б	1	45	31	18	23	41	0	153484	4	5219	182	105	2752	6
730	2013-08-06	Б	3	29	2	4	45	3	0	111109	3	6684	167	110	2456	6
729	2013-08-04	Б	4	10	4	31	39	11	0	70848	3	5867	192	84	2607	6
728	2013-08-01	Б	3	23	2	14	29	42	0	35070	5	3467	170	94	2290	6
727	2013-07-30	А	3	27	40	42	25	29	1	1732131	7	6422	409	101	6101	6
726	2013-07-28	А	2	7	26	3	24	29	0	1644063	20	2090	503	76	6417	6
725	2013-07-25	Б	4	18	20	31	4	17	0	1559833	24	1763	528	74	6508	6
724	2013-07-23	Б	1	35	26	19	22	42	0	1476928	5	8119	493	76	6380	6
723	2013-07-21	А	3	9	32	25	3	40	0	1397692	15	2612	521	69	6242	6
722	2013-07-18	Б	3	10	2	15	34	43	0	1320339	17	2176	332	102	5111	6
721	2013-07-16	Б	1	21	3	40	17	7	0	1247850	27	1266	644	49	6735	6
720	2013-07-14	Б	3	22	27	4	45	13	0	1180848	10	3558	390	84	4688	6
719	2013-07-11	А	4	8	43	34	15	22	0	1105994	9	3955	351	93	4995	6
718	2013-07-09	А	1	13	12	29	25	18	0	1036042	11	3110	408	77	5575	6
717	2013-07-07	А	1	8	42	29	45	35	0	969007	9	3902	275	117	4288	6
716	2013-07-04	А	1	33	19	20	13	8	0	899815	11	2665	429	63	5523	6
715	2013-07-02	А	2	22	35	1	43	23	0	842195	5	6016	248	111	3746	6
714	2013-06-30	Б	1	23	38	7	20	34	0	783444	8	3399	297	84	3815	6
713	2013-06-27	Б	4	10	43	26	23	29	0	729070	5	6010	254	109	3842	6
712	2013-06-25	Б	2	11	23	21	20	27	0	669397	3	8877	318	77	4083	6
711	2013-06-23	А	1	4	37	35	20	1	0	616479	4	7269	305	88	3998	6
710	2013-06-20	А	2	22	14	34	20	36	0	558414	8	3495	349	73	4704	6
709	2013-06-18	А	2	26	30	10	37	27	0	501366	9	3369	357	78	4831	6
708	2013-06-16	Б	1	13	16	31	19	26	0	441721	11	2399	513	47	6299	6
707	2013-06-13	А	2	16	44	19	33	31	0	383458	8	3293	370	65	4862	6
706	2013-06-11	Б	3	29	24	8	31	11	0	329650	16	1597	401	58	5167	6
705	2013-06-09	Б	2	39	23	5	44	40	0	278562	7	3648	354	66	4724	6
704	2013-06-06	А	4	32	16	44	34	17	0	227083	13	1783	312	68	4223	6
703	2013-06-04	А	1	38	5	2	12	26	0	179600	9	2142	357	49	4215	6
702	2013-06-02	А	1	36	15	17	33	38	0	140903	6	3178	277	63	3671	6
701	2013-05-30	Б	3	4	36	17	29	43	0	102208	3	5834	245	65	3355	6
700	2013-05-28	Б	4	8	23	32	27	3	0	66418	9	1738	291	49	3673	6
699	2013-05-26	А	3	40	18	41	36	4	0	34423	6	2785	227	67	3134	6
698	2013-05-23	Б	3	2	19	36	8	10	1	1181933	9	3818	694	45	7105	6
697	2013-05-21	А	3	30	19	13	31	34	0	1113735	10	3213	468	63	6730	6
696	2013-05-19	А	1	6	11	2	20	45	0	1049036	10	3551	443	74	6375	6
695	2013-05-16	Б	2	26	2	13	9	40	0	979269	26	1198	688	41	7582	6
694	2013-05-14	А	1	44	24	12	13	8	0	917398	13	2350	538	52	6602	6
693	2013-05-12	Б	4	17	3	18	39	34	0	857422	9	3091	392	65	5190	6
692	2013-05-09	Б	3	35	40	6	34	5	0	802029	8	3020	310	71	4843	6
691	2013-05-07	А	3	13	24	27	28	11	0	754009	14	1707	588	37	5722	6
690	2013-05-05	А	4	18	36	33	21	3	0	706563	10	2269	387	54	4665	6
689	2013-05-02	А	2	30	38	40	6	41	0	655713	11	1957	346	57	4284	6
688	2013-04-30	А	2	16	27	15	36	2	0	610772	8	3202	507	46	6618	6
687	2013-04-28	А	4	8	7	26	37	2	0	558480	9	3065	492	51	6074	6
686	2013-04-25	А	3	21	22	29	26	23	0	502710	12	2363	406	64	5551	6
685	2013-04-23	А	2	33	44	21	12	30	0	445844	10	2724	343	73	5041	6
684	2013-04-21	Б	4	1	33	12	28	10	0	391267	5	5215	370	65	4974	6
683	2013-04-18	А	3	5	40	26	39	12	0	337844	8	2904	405	52	5543	6
682	2013-04-16	Б	1	28	45	20	38	22	0	287858	5	4714	367	59	5058	6
681	2013-04-14	Б	1	14	29	1	34	42	0	239645	4	5957	307	71	4448	6
680	2013-04-11	Б	3	36	6	26	7	44	0	191238	7	3215	329	63	4250	6
679	2013-04-09	Б	2	17	13	24	16	44	0	145799	14	1402	367	49	4315	6
678	2013-04-07	А	1	39	34	8	14	35	0	106363	4	5032	315	58	4195	6
677	2013-04-04	Б	4	28	45	10	11	3	0	65446	6	2870	240	66	3298	6
676	2013-04-02	Б	1	42	23	3	19	31	0	30520	8	1879	215	64	2988	6
675	2013-03-31	Б	2	36	12	28	7	9	1	70058	13	1340	346	46	4560	6
674	2013-03-28	Б	2	33	42	37	19	29	0	34641	5	3432	241	65	3104	6
673	2013-03-26	Б	3	26	33	4	45	35	1	263313	3	8160	292	77	4544	6
672	2013-03-24	А	2	24	28	45	19	39	0	214556	7	3198	336	61	4496	6
671	2013-03-21	Б	2	5	29	43	11	42	0	169743	5	4635	287	74	4367	6
